                    cells       speed 1     delay (a) 1 delay 1     arcs    speed 2     delay (a) 2 delay 2
2019-02-12 07:37    29          490.92MHz                2.68ns             330.14MHz               1.99ns
2019-02-12 07:48    29          490.92MHz   14.34ns      2.20ns             350.39MHz    4.14ns     1.77ns
2019-02-12 08:22    29          490.92MHz   14.34ns      2.68ns             330.58MHz    4.71ns     1.84ns
2019-02-12 08:39    29          490.92MHz   14.10ns      3.16ns       96    335.35MHz    4.46ns     1.93ns
2019-02-12 08:48    29          490.92MHz   14.10ns      3.16ns       96    335.35MHz    4.46ns     1.93ns
2019-02-12 11:11    29          490.92MHz   14.58ns      2.44ns       96    330.03MHz    4.74ns     2.04ns
2019-02-12 12:15    29          468.38MHz   14.34ns      2.68ns       96    330.58MHz    4.74ns     1.97ns
2019-02-12 12:48    48          242.95MHz   13.38ns      2.92ns      240    162.44MHz    4.13ns     2.05ns
2019-02-12 13:25    48          165.54MHz   14.58ns      3.64ns      240    176.46MHz    4.75ns     2.06ns
2019-02-12 13:28    48          142.84MHz   14.34ns      3.40ns      240    168.21MHz    4.71ns     2.31ns
2019-02-12 13:38    55          196.93MHz   14.58ns      3.16ns      343    166.53MHz    4.43ns     2.06ns
2019-02-12 14:51    50           84.74MHz   13.38ns      3.88ns      271    170.13MHz    4.15ns     2.35ns
2019-02-12 15:10    50           84.74MHz   13.38ns      3.88ns      271    170.13MHz    4.15ns     2.35ns
2019-02-12 15:39    50           75.52MHz   12.90ns      5.09ns      271    166.53MHz    4.14ns     2.55ns
2019-02-12 16:04    48          112.10MHz   14.34ns      2.92ns      241    163.99MHz    4.72ns     2.00ns
2019-02-12 17:27    56          142.90MHz   14.34ns      3.40ns      345    160.03MHz    4.95ns     2.25ns
2019-02-12 18:00    51          213.36MHz   13.98ns      2.92ns      273    165.43MHz    4.78ns     2.05ns
2019-02-12 22:07    49          112.10MHz   14.58ns      3.16ns      241    168.95MHz    4.74ns     1.93ns
2019-02-12 22:12    51          138.10MHz   15.06ns      2.92ns      273    154.61MHz    4.78ns     2.00ns
2019-02-12 22:20    49          112.10MHz   14.34ns      3.64ns      241    171.50MHz    4.55ns     2.33ns
2019-02-12 23:27    55          202.72MHz   13.14ns      4.61ns      344    162.63MHz    4.88ns     2.21ns
2019-02-13 07:46    48           98.83MHz   13.86ns      2.92ns      241    169.41MHz    4.11ns     1.92ns
2019-02-13 14:53    51          153.35MHz   16.74ns      3.40ns      273    155.47MHz    5.53ns     2.09ns
2019-02-13 23:21    318         113.77MHz   25.44ns     13.97ns     3061    117.75MHz    9.56ns     4.08ns
2019-02-14 09:00    353         118.23MHz   26.00ns     12.28ns     3334    119.40MHz   10.08ns     3.84ns
2019-02-14 22:11    403         115.09MHz   27.38ns     11.32ns     2430    111.51MHz   12.62ns     3.57ns
2019-02-15 07:14    535          97.16MHz   26.57ns      9.16ns     3073     96.10MHz   13.38ns     3.13ns
